grupo,tempo_execucao
C,65.53485047932979
C,78.56398794323472
C,72.14093744130204
C,57.542612212880115
C,71.73180925851182
C,73.85317379728836
C,61.16142563798867
C,71.53725105945527
C,70.58208718446
C,58.57029702169377
C,73.57787360348283
C,75.60784526368235
C,80.83051243175277
C,80.53802052034902
C,56.22330632042909
C,60.62174960084877
C,75.1503526720866
C,75.1378595091221
C,75.15047686306048
C,108.52731490654722
C,75.70890510693167
C,81.35565640180599
C,79.54001763493203
C,76.51391251305797
C,66.84730755359655
C,77.58969220493267
C,62.27174785462428
C,67.63181393259991
C,65.14636452170896
C,70.81874139386322
C,93.14658566673509
C,51.32734807408252
C,76.86260190374513
C,53.87284128810349
C,65.28068134210567
C,80.88950596967366
C,70.64280019095463
C,59.22255222070694
C,62.84696290740032
C,76.79597748934675
C,62.69633368282864
C,72.16458589581976
C,70.45571839903813
C,63.483996523941826
C,91.43944089325325
C,76.33919022318011
C,49.74857413342393
C,71.86454314769428
C,63.38213535231612
C,78.52433334796224
D,62.57479261567299
D,69.35263558533102
D,75.54987278980457
D,79.15755194170121
D,58.497035929442234
D,67.15498764159051
D,65.75054688839043
D,63.96670767426288
D,88.15454240281096
D,74.54981710960955
D,57.891160456649544
D,79.67861947054776
D,91.72156197012633
D,80.82465260551147
D,55.30630034045987
D,65.65765927133748
D,83.16911149186623
D,63.42330534381219
D,74.93819428146229
D,78.24634053429337
D,61.230695284219166
D,69.904746439382
D,38.08732659930927
D,60.256123586657104
D,67.9743184860684
D,58.02216818035151
D,86.82411303931636
D,56.19858622039367
D,66.09955513303017
D,71.80740577286092
D,84.91273289066116
D,56.1413784882056
D,82.13163752154959
D,70.60233061019586
D,60.68491348952049
D,75.1210347426327
D,72.4905969557347
D,64.49783122841205
D,71.19802084990019
D,66.64686403138239
D,71.63517345251248
D,77.12130674521046
D,86.36016816145352
D,58.12184501173151
D,91.83033374656267
D,50.97912200477498
D,68.98214904964416
D,76.38317206484577
D,73.30991867735032
D,64.27300480179406
